"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"72";"15001016031P5";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ENGENHARIA CIVIL";"MESTRADO/DOUTORADO";0,606060606060606;0,231884057971014;0,427083333333333;0,434027777777778;0,424763943785683
"73";"15001016032P1";"CIÊNCIAS BIOLÓGICAS I";"CBI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"6";"NORTE";"PA";"UFPA";"GENÉTICA E BIOLOGIA MOLECULAR";"MESTRADO/DOUTORADO";0,333333333333333;0,316666666666667;0,552583813190131;0,502298850574713;0,426220665941211
"74";"15001016033P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS";"MESTRADO/DOUTORADO";0,492063492063492;0,30952380952381;0,562770562770563;0,494252873563218;0,464652684480271
"75";"15001016034P4";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"SOCIOLOGIA E ANTROPOLOGIA";"MESTRADO/DOUTORADO";0,454545454545455;0,36046511627907;0,588235294117647;0,418827160493827;0,455518256359
"76";"15001016035P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,430555555555556;0,252873563218391;0,64984984984985;0,413978494623656;0,436814365811863
"77";"15001016036P7";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"SERVIÇO SOCIAL";"MESTRADO/DOUTORADO";0,454545454545455;0,525;0,599603174603175;0,512777777777778;0,522981601731602
"78";"15001016037P3";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"FÍSICA";"MESTRADO/DOUTORADO";0,166666666666667;0,111111111111111;0,454971875481584;0,515686274509804;0,312108981942291
"79";"15001016039P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ODONTOLOGIA";"MESTRADO";0,380952380952381;0,125;0,521969696969697;0,433333333333333;0,365313852813853
"80";"15001016040P4";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"BIOLOGIA DE AGENTES INFECCIOSOS E PARASITÁRIOS";"MESTRADO/DOUTORADO";0,434782608695652;0,315789473684211;0,489224664224664;0,4875;0,431824186651132
"81";"15001016041P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"MATEMÁTICA E ESTATÍSTICA";"MESTRADO";0,354166666666667;0,452380952380952;0,75;0,6275;0,546011904761905
"82";"15001016042P7";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"GEOGRAFIA";"MESTRADO/DOUTORADO";0,5;0,415384615384615;0,566666666666667;0,422916666666667;0,476241987179487
"83";"15001016043P3";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"HISTÓRIA";"MESTRADO/DOUTORADO";0,433333333333333;0,244186046511628;0,47261239226648;0,382;0,38303294302786
"84";"15001016044P0";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"NEUROCIÊNCIAS E BIOLOGIA CELULAR";"MESTRADO/DOUTORADO";0,380952380952381;0,255813953488372;0,608816425120773;0,483095238095238;0,432169499414191
