"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1776";"32012012007P3";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"EDUCAÇÃO FÍSICA";"MESTRADO";31;68;0,455882352941176;0,455882352941176
"1777";"32012012008P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"EDUCAÇÃO";"MESTRADO";33;62;0,532258064516129;0,532258064516129
"1778";"32012012009P6";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"INTERDISCIPLINAR EM BIOCIÊNCIAS APLICADAS";"MESTRADO";18;15;1,2;1,2
"1779";"32012012070P7";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"PSICOLOGIA";"MESTRADO";25;46;0,543478260869565;0,543478260869565
"1780";"32012012171P8";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"SUDESTE";"MG";"UFTM";"CIÊNCIA E TECNOLOGIA AMBIENTAL";"MESTRADO";24;34;0,705882352941177;0,705882352941177
"1781";"32014015001P8";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIMONTES";"PRODUÇÃO VEGETAL NO SEMIÁRIDO";"MESTRADO/DOUTORADO";10;40;0,25;0,25
"1782";"32014015002P4";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIMONTES";"DESENVOLVIMENTO SOCIAL";"MESTRADO/DOUTORADO";15;29;0,517241379310345;0,517241379310345
"1783";"32014015003P0";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2007;"PROFISSIONAL";"4";"SUDESTE";"MG";"UNIMONTES";"CUIDADO PRIMÁRIO EM SAÚDE";"MESTRADO PROF.";21;30;0,7;0,7
"1784";"32014015004P7";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"5";"SUDESTE";"MG";"UNIMONTES";"CIÊNCIAS DA SAÚDE";"MESTRADO/DOUTORADO";19;44;0,431818181818182;0,431818181818182
"1785";"32014015005P3";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIMONTES";"ZOOTECNIA";"MESTRADO";21;44;0,477272727272727;0,477272727272727
